reservation type, duration 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
hourly, 0.16 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
daily, 0.17 
